,URODZONY,PLEC,KLM6,woj,q9,q10,q11,q12,q13,q14,q15,q16,q18,q21,q22,q23,q24s1,q24s2,q24s3,q25s1,q25s2,q25s3,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37s1,q37s2,q37s3,q37s4,q37s5,q37s6,q38s1,q38s2,q38s3,q38s4,q38s5,q38s6,q38s7,q38s8,q38s9,q38s10,q38s11,q38s12,q38s13,q38s14,q38s15,q38s16,q38s17,q38s18,q38s19,q38s20,q38s21,q38s22,q38s23,q38s24,q38s25,q40,q41,q42,q43,q44,q45s1,q45s2,q45s3,q46,q47s1,q47s2,q47s3,q47s4,q48s1,q48s2,q48s3,q48s4,q48s5,q48s6,q48s7,q50,q51,q52,q53,q54,q55,q56s1,q56s2,q56s3,q56s4,q57,q58,q59,q61s1,q61s2,q61s3,q61s4,q62s1,q62s2,q62s3,q62s4,q63s1,q63s2,q63s3,q63s4,q64s1,q64s2,q64s3,q64s4,q65s1,q65s2,q65s3,q65s4,q66s1,q66s2,q66s3,q66s4,q67s1,q67s2,q67s3,q67s4,q68s1,q68s2,q68s3,q68s4,q69s1,q69s2,q69s3,q69s4,q70s1,q70s2,q70s3,q70s4,q70s5,q70s6,q70s7,q72,q73i1,q73i2,q73i3,q73i4,q73i5,q73i6,q73i7,q73i8,q73i9,q73i10,q74,q75i1,q75i2,q75i3,q75i4,q75i5,q75i6,q75i7,q75i8,q75i9,q75i10,q75i11,q75i12,q76,q77i1,q77i2,q77i3,q77i4,q77i5,q77i6,q77i7,q77i8,q77i9,q77i10,q78,q80,q81,q82,q83,q84i1,q84i2,q84i3,q84i4,q84i5,q84i6,q84i7,q84i8,q84i9,q84i10,q85,q86,q87,q88s1,q88s2,q88s3,q88s4,q88s5,q88s6,q88s7,q88s8,q88s9,q88s10,q88s11,q88s12,q88s13,q88s14,q88s15,q90,q91,q92,q93,q94,q96i1,q96i2,q96i3,q96i4,q96i5,q96i6,q96i7,q96i8,q96i9,q96i10,q96i11,q96i12,q96i13,q96i14,q96i15,q96i16,q96i17,q96i18,q96i19,q96i20,q96i21,q98,q99,q100,q101,q102,q103s1,q103s2,q119,q120,q140,q141,q142,q143,q144,q145,q146,q147,q148,q149,q150,q151,q152,q153,q154,q155,q156,r7s1,r7s2,r7s3,r7s4,r7s5,waga,error,decade,economical_opinion,politicians_opinion,muslims_opinion
583,1986,2,1,3,10,4,,15,6.0,2,3,4,2.0,1,1,3,4,4,,4,4,,3,3,,3,1,2.0,,3,3,3,3,3,3,2,3,3,4,4,6,12,6,12,6,2,12,6,3,5,2,12,12,8,5,12,9,6,6,6,6,4,7,12,4,2,3,2,2,2,2,2,3,2,3,3,2,5,6,3,4,5,5,5,2,5,7,3,3,1,3,3,3,3,2,3,,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,3,5,3,,,,,,,,8.0,,,8.0,,,,,,,,,,,97.0,,,1.0,,,,,,,,,,1.0,2,2,2,2,,,,4.0,,,,8.0,,,,,2,5,10,6,10,4,5,4,10,2,10,10,10,10,7,10,3,2,3,5.0,,,,,,,,,,,,,12.0,13.0,,,,,,,,,2,,2.0,1,1,2,2,1,97.0,3,3,3,,,1,500.0,,5,2,2,3,1,1.0,1,2.0,1,2012,7,9,18,50,0.8485265722815049,-6.0,80,2.0,5.32,3.0
584,1955,2,1,3,8,4,,12,9.0,1,3,2,0.0,1,1,4,4,4,,3,3,,4,3,,4,1,97.0,,3,3,3,3,3,3,3,3,3,3,4,6,3,6,12,6,3,6,5,4,1,6,7,7,2,3,1,7,6,12,4,12,4,5,2,4,3,3,2,2,1,2,2,3,5,5,5,5,5,6,2,5,5,5,6,2,6,7,7,1,1,2,2,2,2,2,3,,3,3,4,3,3,3,4,4,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,5,5,5,5,5,3,5,2,1.0,,,,,,,,,,1.0,1.0,,,,,,,,9.0,,,,9.0,1.0,,,,,,,,,,1.0,3,2,2,1,,,3.0,4.0,,,,,,,,,2,4,10,10,2,4,4,10,10,10,10,10,10,10,10,10,4,2,3,10.0,997.0,,,,,,,,,,,,,,,,,,,,97.0,,2,,2.0,1,1,7,7,2,,2,2,1,560.0,,1,280.0,,4,1,2,4,7,,1,2.0,2,2012,7,9,19,27,0.954903056293515,-1.0,50,2.3333333333333335,4.76,2.0
585,1939,2,1,3,2,4,,13,9.0,1,3,3,0.0,1,1,3,2,2,,3,3,,2,3,,3,3,,,3,3,3,3,3,2,3,2,2,3,4,4,5,5,1,7,8,6,4,6,6,7,6,4,6,8,7,7,1,6,6,3,4,4,8,4,7,4,2,2,2,2,2,3,5,5,5,5,5,5,5,4,5,4,4,7,8,7,1,7,2,3,3,2,2,2,3,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,5,5,5,5,5,3,5,2,,,,,,,,8.0,,,8.0,,,,,,,,,9.0,,,,9.0,,,,,5.0,,,,,,5.0,3,1,2,2,,,3.0,4.0,,,,,,,,,3,6,10,10,10,5,6,4,10,1,10,10,10,10,10,10,4,2,3,10.0,997.0,,,,,,,,,,,,,,,,,,,,97.0,,2,,2.0,1,3,2,2,1,1.0,4,3,1,1500.0,,1,800.0,,5,2,2,4,1,1.0,2,,2,2012,7,9,18,22,0.6671282530011649,-1.0,30,3.6666666666666665,4.72,3.0
586,1953,1,1,3,2,1,4.0,9,,2,3,3,0.0,1,2,4,4,4,4.0,3,3,3.0,4,3,3.0,4,1,5.0,,3,3,3,3,2,2,2,3,3,4,3,6,3,6,6,6,9,6,8,8,2,8,3,4,3,9,6,6,9,8,3,8,3,4,8,1,1,1,1,2,1,2,2,3,1,3,3,1,6,7,3,3,6,6,6,2,6,1,1,3,2,2,2,2,2,1,2,2.0,2,7,3,3,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,5,5,5,5,5,3,5,2,1.0,,,,,,,,,,1.0,,,,4.0,,,,,,,,,4.0,1.0,,,,,,,,,,1.0,2,2,2,2,,,,4.0,5.0,,,,,,,,2,3,6,6,2,3,10,5,10,2,10,10,10,10,10,10,1,1,1,12.0,,,,,,,,,8.0,,10.0,11.0,12.0,,,,,,,,,,1,2.0,,2,1,7,1,1,5.0,2,3,1,1000.0,,1,500.0,,3,4,2,4,1,1.0,1,1.0,2,2012,7,9,17,35,0.9187989946917626,1.0,50,2.3333333333333335,5.9,2.0
587,1939,1,1,3,2,4,,13,9.0,1,3,1,,1,2,4,3,3,,3,3,,4,3,,4,8,,,3,3,3,3,3,3,3,7,7,2,7,5,6,7,6,7,9,6,7,7,6,7,6,7,5,7,5,7,6,7,5,8,7,8,8,2,2,2,1,2,2,2,2,3,2,3,2,2,6,6,4,3,4,4,5,2,7,7,7,2,2,2,2,2,2,1,7,,2,2,2,2,7,7,3,3,7,7,7,7,2,2,2,7,7,7,7,7,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,3,5,2,1.0,,,,,,,,,,1.0,,,,4.0,,,,,,,,,4.0,1.0,,,,,,,,,,1.0,4,1,2,1,,,3.0,4.0,,,,,,,,,3,4,10,9,10,10,9,6,1,2,10,10,10,9,9,10,2,1,1,12.0,,,,,,,,,,,10.0,,,,,,,,,,,,2,,2.0,1,3,7,7,1,5.0,2,3,1,790.0,,1,790.0,,4,2,2,4,1,1.0,2,,2,2012,7,9,17,3,0.6030014370404497,1.0,30,3.0,6.74,3.0
588,1945,1,1,4,6,4,,13,4.0,1,3,2,0.0,1,1,3,3,1,,3,2,,2,3,,2,1,2.0,,1,2,1,1,2,1,1,4,2,4,8,10,11,12,1,9,1,10,11,11,1,6,11,11,2,10,8,12,9,11,8,11,11,7,6,1,1,1,2,2,2,2,2,3,1,2,1,1,7,7,7,3,6,97,7,1,6,4,1,2,2,1,1,4,1,2,4,,4,4,4,4,2,3,4,4,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,4,,,3.0,,5.0,,,,,,5.0,,,,,5.0,,,,9.0,,,,9.0,1.0,,3.0,,,,7.0,,,,3.0,3,2,2,2,,2.0,,,,,,,,,,,3,10,1,6,1,9,10,9,10,2,10,10,10,6,9,10,1,1,1,10.0,997.0,,,,,,6.0,,,,,,12.0,,14.0,15.0,,,,,,,1,1.0,,2,4,2,2,1,7.0,5,3,1,1500.0,,1,1800.0,,3,2,2,5,1,2.0,2,,2,2012,7,9,18,51,1.0011416811132505,-1.0,40,4.666666666666667,10.32,1.0
589,1951,1,1,4,7,2,1.0,4,,2,3,2,0.0,1,1,4,4,2,3.0,3,4,3.0,3,3,4.0,3,1,2.0,,2,3,3,3,2,2,2,2,7,4,8,8,10,12,10,4,1,9,11,10,1,9,9,8,1,10,9,3,10,11,9,10,9,10,2,1,1,1,2,2,1,2,1,3,1,4,3,1,7,7,1,3,7,5,6,1,6,4,1,2,1,1,1,4,1,2,1,2.0,1,1,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,3,5,3,5,3,1.0,2.0,3.0,,5.0,,,,,,5.0,,,,4.0,5.0,,,,9.0,,,,5.0,,,3.0,,,,7.0,,,,7.0,4,1,2,1,,2.0,,,5.0,,,,,,,,3,4,10,3,2,7,2,3,6,10,10,10,10,6,10,10,1,1,1,15.0,,,,,,,,,8.0,,,,12.0,,,,16.0,17.0,,,,,2,,1.0,1,1,2,2,1,7.0,3,3,1,3500.0,,1,2100.0,,2,2,1,5,1,2.0,1,4.0,1,2012,7,9,20,38,0.9708427808779839,4.0,50,3.3333333333333335,9.62,4.0
590,1942,1,5,12,4,4,,13,6.0,1,3,2,0.0,1,1,3,4,2,,3,3,,3,3,,3,1,7.0,,4,3,3,3,3,3,3,1,2,4,1,7,1,1,11,8,7,7,7,1,1,1,1,7,1,7,1,7,7,2,8,1,1,8,7,1,1,1,2,1,1,2,1,3,1,4,3,1,7,7,1,2,4,4,7,2,8,1,2,2,1,2,2,7,3,1,4,,2,4,4,4,2,3,3,3,2,2,2,3,2,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1,,2.0,,,5.0,,,,,,2.0,,,,,5.0,,7.0,,9.0,,,,9.0,1.0,2.0,,,5.0,,,,,,5.0,2,2,2,2,1.0,,,,,,,8.0,,,,,2,4,10,5,2,10,2,10,10,2,5,3,10,10,10,3,1,1,2,15.0,,,,,,,6.0,,,,,,12.0,,,,16.0,17.0,,,,,2,,1.0,1,1,1,1,1,1.0,4,3,1,3000.0,,1,1500.0,,2,2,1,7,1,1.0,1,2.0,2,2012,7,9,16,44,0.8365508030977852,4.0,40,3.6666666666666665,2.7,1.0
591,1965,2,5,12,6,1,1.0,4,,2,3,3,0.0,1,2,5,5,5,4.0,4,4,3.0,3,5,2.0,3,1,10.0,,4,4,4,4,3,3,4,7,7,4,9,3,1,12,12,2,8,3,2,1,8,4,6,12,1,7,1,12,6,4,12,1,2,12,10,2,2,3,2,2,2,1,2,3,2,3,3,5,3,4,2,1,5,97,97,2,5,1,3,3,2,7,7,4,4,2,4,,2,2,2,3,3,2,3,3,1,1,1,2,2,2,2,3,2,2,2,4,1,1,1,3,1,1,2,4,1,1,2,4,1,2,2,4,5,3,5,5,5,3,5,3,,2.0,3.0,,5.0,,,8.0,,,5.0,,,,4.0,,,7.0,,9.0,,,,4.0,,2.0,3.0,,,6.0,,,,,3.0,3,1,2,2,1.0,,,,,,,8.0,,,,,3,2,10,6,1,2,3,10,10,5,3,5,10,6,6,10,2,1,2,7.0,,,,,,,,,8.0,,,,12.0,,,,16.0,17.0,,,,,2,,2.0,1,1,2,2,1,1.0,3,1,1,1500.0,,1,1200.0,,3,1,1,7,1,1.0,2,,1,2012,7,9,17,44,0.7203247959465178,-4.0,60,1.3333333333333333,3.0,2.111111111111111
592,1988,1,5,12,4,4,,14,7.0,2,2,3,0.0,1,7,3,3,2,,3,2,,3,2,,2,3,,,5,3,3,3,3,3,2,2,2,3,12,12,12,12,12,12,4,7,8,6,12,7,7,12,7,6,12,12,12,6,12,7,5,12,6,1,1,1,2,1,1,2,1,1,2,4,2,1,5,7,4,2,7,4,4,2,6,2,2,2,1,2,2,2,2,2,3,,3,3,3,3,3,3,3,4,1,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,5,4,5,5,5,3,5,2,1.0,,,,,6.0,,8.0,,,1.0,,2.0,,4.0,,,,,9.0,,,,9.0,1.0,,,,5.0,,7.0,,,,1.0,2,2,3,2,1.0,,,4.0,,,,,,,,,3,3,2,3,4,4,3,3,5,3,4,3,10,10,7,10,1,1,2,12.0,,,,,,,,,,,10.0,,12.0,,,,16.0,,,,,,1,1.0,,2,3,2,1,2,,3,4,3,,,5,,2.0,4,5,3,4,2,,2,,1,2012,7,9,15,49,0.6505193193343254,1.0,80,4.0,6.3,2.2777777777777777
593,1973,2,4,12,9,4,,15,4.0,2,3,3,1.0,1,2,3,7,7,,3,3,,2,3,,3,1,2.0,,2,2,2,2,2,2,2,7,7,2,12,8,8,12,12,9,1,11,9,7,1,7,6,8,10,7,8,12,6,6,12,11,10,7,1,2,1,1,2,1,1,1,1,3,2,3,3,2,6,6,4,97,6,6,6,2,6,1,7,2,2,2,2,3,2,7,2,2.0,2,2,2,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,4,5,3,5,3,1.0,,,4.0,5.0,,,,,,5.0,,,,4.0,5.0,,,,,,,,97.0,,2.0,3.0,,,,,,,,3.0,2,2,2,2,,,,,,,7.0,8.0,,,,,2,2,1,1,5,5,7,10,7,2,3,4,10,7,7,10,2,1,2,11.0,,,,,,5.0,6.0,,,,,,12.0,,,,,17.0,,,,,1,1.0,,2,1,2,2,1,7.0,4,3,3,,,1,1000.0,,3,5,4,4,1,2.0,2,,1,2012,7,9,10,7,1.2310748854376061,0.0,70,3.0,8.04,4.0
594,1957,2,6,1,7,1,3.0,4,,1,3,2,0.0,1,1,2,2,2,2.0,3,3,3.0,2,3,4.0,2,1,2.0,,2,2,2,1,3,4,1,4,4,4,10,6,6,12,12,3,1,8,11,5,1,9,9,12,6,8,8,5,12,9,12,11,10,8,1,4,1,4,2,1,2,2,2,2,1,4,4,1,7,7,1,5,4,7,6,1,6,4,2,2,2,1,1,2,2,1,4,,3,3,3,4,3,2,3,4,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,3,4,3,4,3,4,4,1.0,,3.0,,,6.0,,8.0,,,8.0,,,,,,6.0,7.0,,9.0,,,,7.0,,,3.0,4.0,,,7.0,,,,7.0,3,1,2,2,,,,,,,7.0,8.0,,,,,1,1,10,6,2,2,2,3,6,2,3,3,10,7,6,10,4,1,2,10.0,996.0,,,,,,,,,,,,,,,,,,,,,,2,,1.0,1,1,7,7,1,7.0,5,3,1,3000.0,,1,6000.0,,3,4,2,1,1,2.0,2,,1,2012,7,6,17,5,0.8598520451558237,-1.0,50,3.6666666666666665,8.64,2.5555555555555554
595,1958,1,2,8,4,4,,14,6.0,2,2,3,0.0,1,2,5,5,5,,5,5,,5,5,,3,3,,,4,4,3,4,3,4,3,4,2,4,9,1,9,9,9,9,1,12,8,1,1,1,1,3,1,1,1,12,9,1,9,10,1,10,1,1,1,1,2,2,1,1,2,3,1,3,3,1,5,5,1,1,7,5,5,2,6,2,2,2,2,2,2,2,2,2,3,,3,3,4,3,3,3,2,3,1,1,1,2,2,2,2,3,3,3,3,4,1,1,1,3,7,7,7,7,1,1,1,4,7,7,7,7,5,5,5,5,5,3,5,3,1.0,2.0,3.0,,5.0,6.0,,,,,1.0,,,,4.0,5.0,,,,9.0,,,,9.0,1.0,,,,5.0,,7.0,,,,1.0,3,2,2,2,1.0,,,,,,,8.0,,,,,3,2,10,5,2,2,2,3,10,2,10,10,10,7,7,5,1,1,1,15.0,,,,,,,6.0,,8.0,,,,12.0,,,,,,,19.0,,,2,,1.0,2,1,2,1,2,,2,3,3,,,1,700.0,,5,2,2,2,1,2.0,2,,2,2012,7,7,11,25,0.9587479447192159,4.0,50,1.0,4.42,1.5555555555555556
596,1958,1,2,1,10,1,3.0,1,,2,3,2,0.0,1,1,4,4,4,3.0,3,4,3.0,2,4,3.0,3,1,7.0,,4,4,4,3,4,4,4,2,3,4,3,1,8,12,6,9,11,1,1,1,4,1,6,6,1,6,1,6,2,1,6,1,1,7,11,1,1,2,1,2,2,1,1,1,1,4,4,1,7,7,1,1,7,7,7,1,11,1,1,3,2,2,2,2,2,1,1,2.0,3,3,2,3,3,3,2,3,1,1,1,2,1,2,1,2,3,2,3,4,1,1,2,4,1,1,1,3,1,1,1,4,1,1,1,4,2,4,5,5,5,4,5,1,1.0,,3.0,,5.0,,,8.0,,,1.0,1.0,,,,,,7.0,,9.0,,,,9.0,,2.0,3.0,,,6.0,,,,,3.0,1,1,3,2,,2.0,,,,,,8.0,,,,,3,1,1,2,1,9,9,4,9,4,9,9,10,7,8,9,1,1,2,12.0,,,,,,,,,,9.0,10.0,,12.0,,,,16.0,,,,,,1,1.0,,2,2,2,1,1,1.0,4,2,1,6000.0,,1,4000.0,,2,1,2,7,1,1.0,2,,1,2012,7,9,17,9,1.3229785492418158,1.0,50,2.0,2.28,1.7222222222222223
597,1973,2,2,8,11,1,1.0,2,,2,3,2,1.0,1,2,4,4,4,2.0,4,4,3.0,2,2,4.0,4,1,5.0,,4,3,3,3,3,7,2,3,3,4,3,9,12,12,12,5,1,11,10,9,1,5,11,1,5,10,1,97,12,9,97,10,4,10,4,3,1,2,2,2,1,1,1,3,2,2,2,2,7,7,4,4,7,3,7,2,4,2,1,1,1,2,1,2,7,2,3,,2,2,2,2,7,7,7,7,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,5,5,3,5,2,5,3,1.0,,,4.0,5.0,,,,,,1.0,,,,,5.0,6.0,,,9.0,,,,9.0,1.0,,3.0,,5.0,,,,,,1.0,2,2,1,2,1.0,2.0,,,,,,,,,,,2,6,2,4,1,3,4,3,9,2,3,2,9,9,6,7,3,1,2,7.0,,,,,,,,,,,10.0,11.0,12.0,,,,,17.0,,,,,1,1.0,,1,1,2,1,1,5.0,5,5,1,2400.0,,1,1200.0,,3,2,2,4,1,2.0,2,,1,2012,7,7,12,43,0.8646546370179329,-4.0,70,2.0,7.06,2.6666666666666665
598,1976,2,2,8,7,1,3.0,4,,2,3,2,0.0,1,2,3,5,3,2.0,2,3,1.0,4,3,1.0,4,1,7.0,,4,3,3,4,2,2,1,7,7,4,12,12,12,12,12,12,8,6,9,5,6,7,12,12,11,1,12,12,12,6,12,12,1,12,1,2,1,1,2,2,2,9,2,3,1,1,1,5,6,7,4,1,7,7,7,3,1,2,2,3,2,7,4,1,1,2,4,,2,2,2,4,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,3,4,5,5,5,5,2,5,3,1.0,2.0,,4.0,5.0,6.0,,,,,1.0,,,,,5.0,6.0,,,9.0,,,,5.0,,,,,,,,,97.0,,,3,2,3,2,,,3.0,,,,,8.0,,,,,2,1,1,9,9,3,6,3,9,5,9,7,9,6,6,10,3,1,3,10.0,,,2.0,,,,,,,,10.0,,12.0,,,15.0,,,,,,,1,1.0,,1,2,2,2,2,,1,3,1,1600.0,,1,800.0,,5,4,1,1,1,2.0,2,,1,2012,7,7,13,54,0.9247952406328857,-1.0,70,3.0,5.62,2.5555555555555554
599,1984,2,2,8,4,1,3.0,6,,2,3,3,1.0,1,2,3,4,3,2.0,3,3,5.0,2,3,3.0,3,2,,,5,3,3,3,3,7,7,7,7,3,12,12,6,12,12,12,6,6,8,12,12,6,12,12,6,6,12,12,12,6,12,12,5,12,5,2,1,3,2,2,2,2,1,3,2,1,2,2,7,7,6,3,7,6,6,2,10,7,3,7,1,7,7,7,7,7,7,,4,7,7,3,7,7,7,7,2,2,2,2,2,2,2,2,2,2,3,4,2,2,2,2,2,2,2,3,1,1,1,2,7,7,7,7,5,5,5,5,5,2,5,7,,,,,,,,,97.0,,,,,,,,,,,9.0,,,,9.0,,,,,,,,,97.0,,,2,2,2,7,1.0,,,,,,,8.0,,,,,7,4,1,5,2,9,3,9,7,2,3,3,9,6,6,2,2,2,7,10.0,997.0,,2.0,,,,,,,,10.0,,12.0,,,,16.0,,,,,,1,1.0,,2,3,2,2,2,,4,3,1,2500.0,,1,2000.0,,4,4,2,4,1,2.0,2,,1,2012,7,7,17,15,0.9342914745004638,-1.0,80,3.0,6.14,1.8333333333333333
600,1955,1,2,1,8,1,3.0,3,,2,3,2,0.0,1,1,3,3,2,2.0,3,4,3.0,3,3,2.0,2,1,9.0,,2,2,2,3,3,2,2,2,2,3,6,1,9,12,10,3,4,10,7,3,1,10,8,3,6,9,1,97,8,9,6,6,7,6,1,1,2,1,2,2,1,1,1,3,1,3,2,1,7,7,3,2,5,97,5,1,7,2,1,2,2,2,3,2,2,2,2,1.0,3,3,3,4,2,2,2,4,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,5,5,5,5,5,3,5,3,,2.0,,4.0,,6.0,,8.0,,,8.0,1.0,,,4.0,,6.0,,,,,,,4.0,,,3.0,,,,7.0,,,,3.0,3,2,2,1,,,3.0,,,,,8.0,,,,,3,3,9,9,2,6,3,3,9,2,9,9,10,7,6,3,1,1,2,12.0,,,,,,,,,,,10.0,,12.0,,,,16.0,17.0,,,,,2,,1.0,1,2,2,7,1,3.0,3,3,5,,8.0,5,,8.0,3,4,2,2,1,2.0,2,,1,2012,7,9,18,35,1.211810722820971,1.0,50,3.3333333333333335,5.96,3.5555555555555554
601,1984,1,2,1,6,1,3.0,6,,2,3,2,0.0,1,2,3,5,3,3.0,3,3,3.0,2,3,3.0,2,1,7.0,,4,3,3,4,3,3,7,2,7,4,2,12,12,6,6,6,4,6,6,6,6,6,4,6,3,4,12,12,12,7,12,6,2,6,6,1,2,1,2,1,2,1,1,2,1,2,1,1,6,6,5,4,7,5,5,3,6,2,2,3,2,3,3,3,3,2,4,,2,3,3,3,7,7,3,3,1,1,1,2,1,1,1,2,2,2,2,3,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,5,5,5,5,5,3,5,2,1.0,,,4.0,5.0,,,,,,5.0,,,,4.0,5.0,6.0,,,,,,,4.0,,2.0,,,5.0,,,,,,97.0,2,2,2,2,,,,,,,7.0,8.0,,,,,3,4,10,3,5,3,3,5,4,6,9,3,3,7,8,9,2,1,2,15.0,,,,,,,,,,,10.0,,12.0,,,,16.0,17.0,,,,,2,,2.0,1,1,2,1,1,1.0,4,3,1,2500.0,,1,2300.0,,4,2,2,5,1,1.0,2,,1,2012,7,9,15,3,1.064794935807082,4.0,80,3.0,5.2,2.5555555555555554
602,1987,1,1,13,7,1,3.0,10,,2,3,1,,1,2,3,3,2,2.0,3,3,3.0,2,2,4.0,3,1,10.0,,3,4,4,3,4,3,4,2,2,3,9,9,6,9,8,9,10,7,7,9,9,3,10,9,1,6,9,7,8,9,9,9,2,9,10,2,1,2,2,2,1,1,2,3,1,4,4,2,7,7,3,3,7,5,5,1,6,4,2,3,7,1,2,4,4,2,2,2.0,3,3,3,3,2,2,2,2,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,4,5,5,5,5,5,3,5,4,,,,4.0,,6.0,,,,,4.0,,,,,5.0,6.0,,,9.0,,,,5.0,1.0,,,,5.0,,,8.0,,,5.0,2,2,2,2,,,,,,,7.0,8.0,,,,,2,4,10,4,10,5,10,4,10,5,3,4,10,7,6,10,2,1,2,11.0,,,,,,,6.0,,,,10.0,,12.0,,,,16.0,,,,,,2,,1.0,2,3,2,2,1,97.0,5,4,1,3000.0,,1,3000.0,,3,3,2,4,1,2.0,2,,1,2012,7,10,11,5,1.2582566345318122,0.0,80,3.6666666666666665,7.6,3.111111111111111
603,1976,1,1,13,2,3,3.0,6,,2,3,3,0.0,1,2,3,7,4,7.0,3,3,3.0,2,2,4.0,2,3,,,2,3,3,3,2,2,2,3,7,4,7,12,12,12,12,5,1,4,11,7,1,7,8,12,7,7,12,12,12,3,12,11,5,12,1,1,1,1,2,1,2,2,2,3,1,3,2,1,7,7,4,2,7,5,7,2,1,4,3,1,2,7,4,4,4,2,4,,3,3,3,3,2,2,2,3,1,1,1,2,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,2,5,5,5,5,3,5,3,1.0,,,,,,,,,,1.0,,,,4.0,,,,,9.0,,,,9.0,1.0,2.0,3.0,,,,,,,,2.0,2,2,1,7,,,,,,,7.0,8.0,,,,,2,5,1,2,3,10,9,2,9,2,10,2,10,7,10,10,1,1,1,10.0,,,2.0,,4.0,,,,8.0,,,,12.0,,,,,,,,,,1,1.0,,2,7,2,2,1,97.0,4,3,1,740.0,,4,,1.0,3,4,2,4,1,2.0,1,1.0,2,2012,7,10,11,57,0.5385637959335045,-1.0,70,2.3333333333333335,6.98,3.111111111111111
604,1991,2,5,6,8,4,,11,11.0,2,1,5,0.0,1,7,3,5,4,,3,2,,3,3,,3,1,1.0,,5,2,2,2,3,7,2,7,7,4,12,12,12,12,12,12,4,12,8,12,12,9,12,12,7,6,12,8,12,12,12,12,7,12,12,3,2,1,2,1,1,2,2,3,2,2,2,1,6,7,4,5,6,5,4,2,6,2,1,1,2,1,2,3,3,2,2,2.0,2,2,3,4,2,2,3,4,1,1,1,1,1,1,2,2,1,1,2,3,1,1,1,2,1,1,1,2,2,2,2,3,2,2,2,4,5,3,3,3,3,2,5,4,1.0,2.0,3.0,4.0,5.0,,,,,,5.0,,,,,,,,,9.0,,,,9.0,1.0,,,,,6.0,7.0,,,,7.0,3,1,2,2,1.0,,,,,,,8.0,,,,,2,2,1,3,1,3,3,4,9,2,10,4,10,9,7,6,3,2,3,11.0,,,2.0,,,,,7.0,,,10.0,,,,,,,,,,,,1,1.0,,1,3,2,1,2,,4,3,1,500.0,,1,700.0,,3,4,2,97,1,2.0,2,,1,2012,7,9,17,40,1.968661946518662,0.0,90,2.6666666666666665,6.42,2.8333333333333335
